Ike	30	0	50	80	50	55	40	30
Titania	50	50	0	0	0	80	40	0
Oscar	60	75	0	80	80	0	40	0
Boyd	50	50	0	80	50	0	15	0
Rhys	70	40	0	0	0	80	0	80
Shinon	0	80	0	0	80	80	0	0
Gatrie	80	0	0	80	0	0	80	10
Soren	0	0	99	0	0	0	0	80
Mia	60	70	0	50	0	0	0	0
Ilyana	50	0	45	0	0	50	0	55
Marcia	40	20	0	80	80	0	0	40
Mist	60	50	90	80	25	0	50	50
Rolf	80	0	0	0	50	80	0	0
Lethe	80	80	0	0	80	50	80	0
Mordecai	60	0	0	80	0	50	20	0
Volke	45	0	0	45	0	90	0	0
Kieran	50	50	0	0	0	70	60	0
Brom	40	0	0	35	90	0	50	0
Nephenee	50	60	0	0	50	40	30	0
Zihark	0	75	20	50	80	80	30	0
Sothe	50	0	0	0	50	40	30	0
Jill	40	30	0	0	50	30	0	0
Astrid	50	40	0	50	40	55	0	0
Makalov	50	0	0	0	70	0	35	0
Stefan	40	45	0	50	0	75	0	0
Tormod	0	0	50	0	50	0	0	0
Muarim	50	0	0	25	75	0	0	0
Devdan	50	20	0	0	70	50	0	0
Reyson	0	0	0	80	80	0	0	80
Ulki	50	40	0	0	80	0	0	0
Janaff	0	50	0	50	30	80	60	0
Tanith	70	80	0	0	60	80	20	0
Calill	50	75	30	50	0	0	0	45
Tauroneo	50	0	0	30	0	30	0	50
Ranulf	50	80	0	50	0	60	30	30
Haar	40	0	0	50	25	40	20	0
Lucia	50	0	0	20	10	55	0	0
Bastian	50	0	30	0	0	50	0	0
Geoffrey	0	50	0	45	0	0	0	0
Largo	20	10	0	50	75	0	0	0
Elincia	0	90	0	50	0	70	0	20
Ena	0	75	0	50	35	75	0	40
Nasir	50	0	0	50	20	90	50	15
Tibarn	50	50	0	0	0	50	0	0
Naesala	50	0	0	60	0	0	80	0
Giffca	0	0	0	0	0	0	0	0
